interaction_id,user_id,product_id,category,price,action_type,timestamp
INT-5F9BD24A,USR-70357912,78f5f8f4547e4be0449bce34eb0557f2,furniture_decor,105.79,click,2026-04-11 22:00:10
INT-4D403B71,USR-70357912,8b6ed41158b194711f83b8da92757544,sports_leisure,16.35,click,2026-04-11 22:00:19
INT-0A7D3E7C,USR-8AA5535F,0a4f9f421af66d2ea061fbb8883419f7,health_beauty,110.32,click,2026-04-12 11:17:47
INT-E435C668,USR-7FB3DAB2,2ced45a3059cbb128a8b8b6508809746,computers_accessories,104.0,click,2026-04-12 16:24:29
INT-6AB436E8,USR-7FB3DAB2,d6e74e35591c053e5cbab04d84c223b5,computers_accessories,65.9,click,2026-04-12 16:24:34
INT-62A6E835,USR-7FB3DAB2,8e3eb37785e42b6b3721e459f1bfaaef,computers_accessories,118.75,click,2026-04-12 16:24:39
INT-E1FEB550,USR-7FB3DAB2,f7e0fa615b386bc9a8b9eb52bc1fff76,computers_accessories,90.24,click,2026-04-12 16:24:41
INT-4E5E7000,USR-7FB3DAB2,f4f20f082b033ee3aaff51af1ed25a5d,computers_accessories,99.9,click,2026-04-12 16:24:47
INT-6A53BFFE,USR-7FB3DAB2,c072bf60b6a78f20474b0ca5080736b7,computers_accessories,67.91,click,2026-04-12 16:25:02
INT-B67B4135,USR-7FB3DAB2,cc1180a16524617866588df758c49ec7,computers_accessories,65.99,click,2026-04-12 16:25:03
INT-2D25BEE6,USR-7FB3DAB2,d0349534ab9b46b98d13a53051310f24,computers_accessories,67.57,click,2026-04-12 16:25:05
